# azimuth_deg phase_function
5.000000000000000000e-01 3.393865094073455491e-01
1.500000000000000000e+00 1.140185662677188779e-04
2.500000000000000000e+00 2.280371325354373966e-05
3.500000000000000000e+00 2.472851058338312565e-04
4.500000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 2.794511932316629888e-04
6.500000000000000000e+00 5.589023864633245410e-05
7.500000000000000000e+00 3.229560299838896685e-04
8.500000000000000000e+00 6.459120599677788219e-05
9.500000000000000000e+00 2.947610913560728182e-04
1.050000000000000000e+01 1.473805456780362736e-04
1.150000000000000000e+01 4.692419213050571082e-04
1.250000000000000000e+01 0.000000000000000000e+00
1.350000000000000000e+01 4.166247540946456016e-04
1.450000000000000000e+01 8.332495081892889806e-05
1.550000000000000000e+01 2.548003108664380193e-04
1.650000000000000000e+01 2.548003108664380193e-04
1.750000000000000000e+01 5.132776995044876708e-04
1.850000000000000000e+01 0.000000000000000000e+00
1.950000000000000000e+01 4.267690447170172183e-04
2.050000000000000000e+01 8.536463959287690238e-05
2.150000000000000000e+01 5.468155938419161366e-02
2.250000000000000000e+01 7.686956019507776294e-02
2.350000000000000000e+01 2.980999600726267143e-02
2.450000000000000000e+01 1.851987431562823055e-02
2.550000000000000000e+01 1.673251928941917738e-02
2.650000000000000000e+01 1.421881571448833058e-02
2.750000000000000000e+01 7.556140265402732162e-03
2.850000000000000000e+01 6.737350791087264729e-03
2.950000000000000000e+01 6.262227410072687163e-03
3.050000000000000000e+01 5.170871168478818197e-03
3.150000000000000000e+01 1.609959229473627599e-03
3.250000000000000000e+01 4.242838883135086406e-03
3.350000000000000000e+01 1.491376682739542188e-03
3.450000000000000000e+01 3.577964200543726908e-03
3.550000000000000000e+01 1.940389812485047603e-03
3.650000000000000000e+01 4.292789549126407736e-04
3.750000000000000000e+01 3.237144111196548456e-03
3.850000000000000000e+01 7.063209410006325312e-04
3.950000000000000000e+01 1.765226518701309066e-03
4.050000000000000000e+01 7.019097150458217249e-04
4.150000000000000000e+01 1.752504607643922806e-03
4.250000000000000000e+01 9.068800611568685142e-04
4.350000000000000000e+01 1.695236178917841835e-03
4.450000000000000000e+01 6.590981418260414681e-04
4.550000000000000000e+01 1.262850431991448296e-03
4.650000000000000000e+01 4.358670753336998829e-04
4.750000000000000000e+01 8.762971480404503979e-04
4.850000000000000000e+01 3.038153733075486958e-04
4.950000000000000000e+01 8.894077001092576132e-04
5.050000000000000000e+01 3.103622822024955374e-04
5.150000000000000000e+01 1.230917594906516185e-03
5.250000000000000000e+01 7.270586467320281103e-04
5.350000000000000000e+01 1.029089468537615782e-03
5.450000000000000000e+01 2.085013440879322343e-04
5.550000000000000000e+01 7.195553802798898037e-04
5.650000000000000000e+01 5.359678234041325698e-04
5.750000000000000000e+01 1.236390169529024254e-03
5.850000000000000000e+01 4.548249864964359256e-05
5.950000000000000000e+01 8.871651959288058206e-04
6.050000000000000000e+01 3.823235511996139519e-04
6.150000000000000000e+01 7.685757799574372516e-04
6.250000000000000000e+01 5.029650828266375500e-04
6.350000000000000000e+01 6.047256535004433969e-04
6.450000000000000000e+01 6.749885673568491737e-04
6.550000000000000000e+01 1.084502896132416962e-03
6.650000000000000000e+01 3.416443769260583962e-04
6.750000000000000000e+01 6.287987806214389826e-04
6.850000000000000000e+01 6.281867862339064095e-04
6.950000000000000000e+01 1.040547817843021994e-03
7.050000000000000000e+01 3.634316918715908319e-04
7.150000000000000000e+01 1.695173542859250296e-03
7.250000000000000000e+01 5.496090715844474109e-04
7.350000000000000000e+01 1.057266794854898112e-03
7.450000000000000000e+01 9.347984295325991897e-04
7.550000000000000000e+01 1.358618912460714647e-03
7.650000000000000000e+01 1.041424407012791874e-04
7.750000000000000000e+01 7.058458607092806241e-04
7.850000000000000000e+01 4.005247307301720936e-04
7.950000000000000000e+01 6.889596733908169048e-04
8.050000000000000000e+01 3.905392944037780717e-04
8.150000000000000000e+01 7.950725895620684019e-04
8.250000000000000000e+01 2.437948853248778926e-04
8.350000000000000000e+01 5.085989746407054615e-04
8.450000000000000000e+01 4.537820681845290000e-04
8.550000000000000000e+01 5.781449336311668971e-04
8.650000000000000000e+01 3.291559781601336495e-04
8.750000000000000000e+01 3.996513678358717329e-04
8.850000000000000000e+01 4.523116053511849776e-04
8.950000000000000000e+01 7.139152940456145423e-04
9.050000000000000000e+01 1.428268563612193815e-04
9.150000000000000000e+01 4.666538048662396618e-04
9.250000000000000000e+01 3.627553003362738414e-04
9.350000000000000000e+01 7.171404871148268903e-04
9.450000000000000000e+01 8.630558124008258882e-05
9.550000000000000000e+01 5.008477381929899276e-04
9.650000000000000000e+01 2.550156503353630190e-04
9.750000000000000000e+01 5.369638190417141185e-04
9.850000000000000000e+01 2.062165014903603660e-04
9.950000000000000000e+01 3.730358518277986958e-04
1.005000000000000000e+02 2.598743160706980964e-04
1.015000000000000000e+02 3.863890800766212269e-04
1.025000000000000000e+02 1.883285667720355574e-04
1.035000000000000000e+02 3.978407362475735402e-04
