# scattering_angle_deg phase_function
5.000000000000000000e-01 3.395711483367260808e-01
1.500000000000000000e+00 2.736445590425184656e-04
2.500000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+00 2.884992901394628061e-04
4.500000000000000000e+00 2.060709215281866693e-04
5.500000000000000000e+00 3.912316705243182747e-04
6.500000000000000000e+00 2.794511932316545862e-04
7.500000000000000000e+00 5.813208539709872110e-04
8.500000000000000000e+00 1.937736179903283475e-04
9.500000000000000000e+00 4.421416370340982768e-04
1.050000000000000000e+01 4.421416370340979516e-04
1.150000000000000000e+01 4.692419213050455073e-04
1.250000000000000000e+01 4.692419213050417126e-04
1.350000000000000000e+01 3.332998032757089244e-04
1.450000000000000000e+01 6.665996065514186077e-04
1.550000000000000000e+01 8.493343695547721835e-04
1.650000000000000000e+01 1.698668739109543879e-04
1.750000000000000000e+01 5.988239827552220996e-04
1.850000000000000000e+01 4.277314162537274923e-04
1.950000000000000000e+01 5.974892983615319713e-04
2.050000000000000000e+01 4.267780702582330411e-04
2.150000000000000000e+01 1.088476800408305079e-01
2.250000000000000000e+01 1.542545591177046926e-01
2.350000000000000000e+01 5.938501393033590592e-02
2.450000000000000000e+01 3.727472671544817401e-02
2.550000000000000000e+01 3.308191136746929661e-02
2.650000000000000000e+01 2.882075864034192719e-02
2.750000000000000000e+01 1.515229297287472472e-02
2.850000000000000000e+01 1.343468914010411200e-02
2.950000000000000000e+01 1.192583044036659747e-02
3.050000000000000000e+01 1.094036671673601253e-02
3.150000000000000000e+01 2.867495219790554533e-03
3.250000000000000000e+01 8.838101005426661841e-03
3.350000000000000000e+01 2.393927109225387536e-03
3.450000000000000000e+01 7.744754657340575596e-03
3.550000000000000000e+01 3.045479276644183497e-03
3.650000000000000000e+01 1.693858258151067922e-03
3.750000000000000000e+01 6.243706559354776815e-03
3.850000000000000000e+01 1.643223545039471101e-03
3.950000000000000000e+01 3.143673368756066087e-03
4.050000000000000000e+01 1.790599098738059752e-03
4.150000000000000000e+01 2.738135963153540478e-03
4.250000000000000000e+01 2.580633374447965835e-03
4.350000000000000000e+01 2.213501670922116138e-03
4.450000000000000000e+01 2.495166970565575442e-03
4.550000000000000000e+01 1.680936290198090013e-03
4.650000000000000000e+01 1.716498724452077866e-03
4.750000000000000000e+01 1.020892291551379633e-03
4.850000000000000000e+01 1.339332751144555996e-03
4.950000000000000000e+01 1.186055001404577505e-03
5.050000000000000000e+01 1.213484963218849433e-03
5.150000000000000000e+01 1.909458482968438842e-03
5.250000000000000000e+01 2.006494000308536776e-03
5.350000000000000000e+01 1.442530991691827859e-03
5.450000000000000000e+01 1.032650633559210277e-03
5.550000000000000000e+01 1.425720049730654602e-03
5.650000000000000000e+01 1.085326357637384940e-03
5.750000000000000000e+01 1.580804219573065566e-03
5.850000000000000000e+01 9.829411167841925392e-04
5.950000000000000000e+01 1.064874752203545704e-03
6.050000000000000000e+01 1.474102742053185313e-03
6.150000000000000000e+01 1.115554237867004026e-03
6.250000000000000000e+01 1.427527487701096788e-03
6.350000000000000000e+01 1.172332770387590414e-03
6.450000000000000000e+01 1.387095671326961984e-03
6.550000000000000000e+01 1.488230123610474829e-03
6.650000000000000000e+01 1.364064422506415389e-03
