# theta_deg   phase_function   DoLP
1.25000000e-01 1.90989404e+00 4.07464237e-03
3.75000000e-01 1.24471081e+00 1.61713730e-03
6.25000000e-01 1.36933994e+00 1.93515604e-03
8.75000000e-01 1.24010578e+00 6.49327112e-04
1.12500000e+00 1.30986933e+00 1.27602724e-03
1.37500000e+00 1.34918784e+00 2.02156996e-03
1.62500000e+00 1.28284806e+00 1.09336471e-03
1.87500000e+00 1.31596642e+00 1.79452902e-03
2.12500000e+00 1.30221565e+00 1.69828579e-03
2.37500000e+00 1.29060119e+00 1.56834849e-03
2.62500000e+00 1.30794859e+00 2.26963111e-03
2.87500000e+00 1.29886648e+00 2.16132546e-03
3.12500000e+00 1.28551958e+00 2.03042526e-03
3.37500000e+00 1.27884480e+00 1.86968512e-03
3.62500000e+00 1.26735795e+00 1.70027475e-03
3.87500000e+00 1.27661453e+00 2.32328720e-03
4.12500000e+00 1.27047600e+00 2.14524870e-03
4.37500000e+00 1.25648553e+00 1.97177203e-03
4.62500000e+00 1.25135553e+00 1.75705149e-03
4.87500000e+00 1.25416621e+00 2.32539884e-03
5.12500000e+00 1.24320041e+00 2.12458471e-03
5.37500000e+00 1.23541793e+00 1.89545738e-03
5.62500000e+00 1.22803269e+00 1.65464622e-03
5.87500000e+00 1.22842391e+00 2.16217042e-03
6.12500000e+00 1.21805834e+00 1.91880533e-03
6.37500000e+00 1.20793988e+00 1.66290503e-03
6.62500000e+00 1.19803387e+00 1.39183558e-03
6.87500000e+00 1.19663873e+00 1.84535502e-03
7.12500000e+00 1.18148594e+00 8.15830146e-04
7.37500000e+00 1.18449308e+00 1.97805434e-03
7.62500000e+00 1.16996950e+00 9.44631019e-04
7.87500000e+00 1.15774490e+00 6.35267184e-04
8.12500000e+00 1.15497094e+00 1.02159427e-03
8.37500000e+00 1.14538392e+00 6.87196336e-04
8.62500000e+00 1.13317313e+00 3.54501144e-04
8.87500000e+00 1.12960627e+00 7.05443729e-04
9.12500000e+00 1.11451242e+00 -3.64867506e-04
9.37500000e+00 1.11075687e+00 -4.11178423e-05
9.62500000e+00 1.09599698e+00 -3.93353630e-04
9.87500000e+00 1.09443614e+00 -1.08276074e-04
1.01250000e+01 1.07762730e+00 -1.18983279e-03
1.03750000e+01 1.07047111e+00 -8.93281194e-04
1.06250000e+01 1.06129970e+00 -1.31654559e-03
1.08750000e+01 1.05378367e+00 -1.04102019e-03
1.11250000e+01 1.04048539e+00 -2.16978749e-03
1.13750000e+01 1.03286228e+00 -1.91806738e-03
1.16250000e+01 1.02115402e+00 -2.35833111e-03
1.18750000e+01 1.00951714e+00 -2.80909414e-03
1.21250000e+01 1.00421490e+00 -2.60532155e-03
1.23750000e+01 9.92592306e-01 -3.07264698e-03
1.26250000e+01 9.81044769e-01 -3.54852408e-03
1.28750000e+01 9.69569792e-01 -4.03261740e-03
1.31250000e+01 9.58161065e-01 -4.52870288e-03
1.33750000e+01 9.52512327e-01 -4.37493547e-03
1.36250000e+01 9.38494882e-01 -4.86034576e-03
1.38750000e+01 9.29797891e-01 -5.40426995e-03
1.41250000e+01 9.21329162e-01 -5.25557710e-03
1.43750000e+01 9.07362129e-01 -6.46953087e-03
1.46250000e+01 8.98865548e-01 -6.33550891e-03
1.48750000e+01 8.87717983e-01 -6.88987564e-03
1.51250000e+01 8.79094773e-01 -6.77024482e-03
1.53750000e+01 8.65598309e-01 -8.01896909e-03
1.56250000e+01 8.59553749e-01 -7.94893876e-03
1.58750000e+01 8.46025424e-01 -8.50295259e-03
1.61250000e+01 8.35116794e-01 -9.09658623e-03
1.63750000e+01 8.28961212e-01 -9.05330062e-03
1.66250000e+01 8.15569111e-01 -9.62351911e-03
1.68750000e+01 8.04772494e-01 -1.02415886e-02
1.71250000e+01 7.96583134e-01 -1.09039573e-02
1.73750000e+01 7.83409069e-01 -1.15013431e-02
1.76250000e+01 7.77187385e-01 -1.14939566e-02
1.78750000e+01 7.66598612e-01 -1.21432765e-02
1.81250000e+01 7.53568687e-01 -1.27566561e-02
1.83750000e+01 7.47300286e-01 -1.27729034e-02
1.86250000e+01 7.35172592e-01 -1.41339214e-02
1.88750000e+01 7.26461637e-01 -1.41214498e-02
1.91250000e+01 7.16128386e-01 -1.48050728e-02
1.93750000e+01 7.07398837e-01 -1.48030356e-02
1.96250000e+01 6.95629165e-01 -1.61983360e-02
1.98750000e+01 6.86949162e-01 -1.62030478e-02
2.01250000e+01 6.79251673e-01 -1.69666045e-02
2.03750000e+01 6.66752044e-01 -1.76359049e-02
2.06250000e+01 6.60523008e-01 -1.77085904e-02
2.08750000e+01 6.50528697e-01 -1.84416550e-02
2.11250000e+01 6.40596704e-01 -1.91809362e-02
2.13750000e+01 6.33126867e-01 -1.99849498e-02
2.16250000e+01 6.20932910e-01 -2.06810597e-02
2.18750000e+01 6.14774136e-01 -2.07781367e-02
2.21250000e+01 6.05046575e-01 -2.15450245e-02
2.23750000e+01 5.97749617e-01 -2.23772665e-02
2.26250000e+01 5.86913418e-01 -2.23662017e-02
2.28750000e+01 5.78580772e-01 -2.39386010e-02
2.31250000e+01 5.70171339e-01 -2.39949815e-02
2.33750000e+01 5.63043443e-01 -2.48579567e-02
2.36250000e+01 5.53646311e-01 -2.56577341e-02
2.38750000e+01 5.45308052e-01 -2.57203521e-02
2.41250000e+01 5.38299575e-01 -2.66037415e-02
2.43750000e+01 5.29045978e-01 -2.74165617e-02
2.46250000e+01 5.22143490e-01 -2.83108053e-02
2.48750000e+01 5.13921775e-01 -2.83858457e-02
